
Grad overflow on iteration 0
Using dynamic loss scale of 65536

Grad overflow on iteration 25
Using dynamic loss scale of 32768.0
Epoch[ 1/100]: loss: 2.9465  EM: 27.9202  F1:38.7346
Epoch[ 2/100]: loss: 0.9719  EM: 29.6296  F1:45.1922
Epoch[ 3/100]: loss: 0.4295  EM: 31.0541  F1:45.8221
Epoch[ 4/100]: loss: 0.2508  EM: 31.3390  F1:46.3610
Epoch[ 5/100]: loss: 0.1477  EM: 31.3390  F1:47.7364
Epoch[ 6/100]: loss: 0.0845  EM: 32.7635  F1:47.6740

Grad overflow on iteration 179
Using dynamic loss scale of 16384.0
Epoch[ 7/100]: loss: 0.0761  EM: 34.1880  F1:49.1044
Epoch[ 8/100]: loss: 0.0380  EM: 34.1880  F1:49.0751
Epoch[ 9/100]: loss: 0.0442  EM: 33.0484  F1:48.5184
Epoch[10/100]: loss: 0.0281  EM: 33.9031  F1:49.4729
Epoch[11/100]: loss: 0.0167  EM: 32.7635  F1:48.8490
Epoch[12/100]: loss: 0.0233  EM: 32.7635  F1:49.9057
Epoch[13/100]: loss: 0.0246  EM: 32.7635  F1:49.2655
Epoch[14/100]: loss: 0.0171  EM: 32.1937  F1:47.8434
Epoch[15/100]: loss: 0.0191  EM: 33.6182  F1:49.3226
Epoch[16/100]: loss: 0.0048  EM: 32.4786  F1:49.2743
Epoch[17/100]: loss: 0.0038  EM: 32.7635  F1:48.8648
Epoch[18/100]: loss: 0.0049  EM: 33.6182  F1:48.9154
Epoch[19/100]: loss: 0.0026  EM: 32.1937  F1:48.1334
Epoch[20/100]: loss: 0.0049  EM: 33.0484  F1:48.7303
Epoch[21/100]: loss: 0.0063  EM: 31.0541  F1:46.6581
Epoch[22/100]: loss: 0.0081  EM: 31.9088  F1:47.6401
Epoch[23/100]: loss: 0.0112  EM: 32.7635  F1:48.9373
Epoch[24/100]: loss: 0.0137  EM: 31.9088  F1:47.0452
Epoch[25/100]: loss: 0.0049  EM: 34.4729  F1:49.7319
Epoch[26/100]: loss: 0.0011  EM: 33.3333  F1:49.0025
Epoch[27/100]: loss: 0.0019  EM: 32.4786  F1:47.1555
Epoch[28/100]: loss: 0.0031  EM: 34.1880  F1:49.1867
Epoch[29/100]: loss: 0.0082  EM: 34.1880  F1:49.7209
Epoch[30/100]: loss: 0.0062  EM: 35.0427  F1:50.0376
Epoch[31/100]: loss: 0.0003  EM: 35.8974  F1:51.0121
Epoch[32/100]: loss: 0.0007  EM: 34.7578  F1:50.4000
Epoch[33/100]: loss: 0.0048  EM: 34.1880  F1:50.3819
Epoch[34/100]: loss: 0.0003  EM: 34.1880  F1:49.4882
Epoch[35/100]: loss: 0.0003  EM: 34.1880  F1:49.6460
Epoch[36/100]: loss: 0.0001  EM: 33.9031  F1:49.7759
Epoch[37/100]: loss: 0.0001  EM: 33.9031  F1:49.7680
Epoch[38/100]: loss: 0.0001  EM: 33.9031  F1:49.6416
Epoch[39/100]: loss: 0.0001  EM: 34.1880  F1:50.0447
Epoch[40/100]: loss: 0.0027  EM: 34.7578  F1:50.4871
Epoch[41/100]: loss: 0.0049  EM: 35.6125  F1:50.9868
Epoch[42/100]: loss: 0.0002  EM: 36.4672  F1:51.6977
Epoch[43/100]: loss: 0.0036  EM: 35.3276  F1:50.7111
Epoch[44/100]: loss: 0.0002  EM: 35.0427  F1:50.8228
Epoch[45/100]: loss: 0.0001  EM: 35.0427  F1:50.8079
Epoch[46/100]: loss: 0.0001  EM: 35.0427  F1:51.2050
Epoch[47/100]: loss: 0.0001  EM: 34.7578  F1:51.4647
Epoch[48/100]: loss: 0.0001  EM: 35.0427  F1:51.2856
Epoch[49/100]: loss: 0.0002  EM: 35.6125  F1:51.4426
Epoch[50/100]: loss: 0.0000  EM: 35.3276  F1:51.2198
Epoch[51/100]: loss: 0.0000  EM: 35.3276  F1:51.0641
Epoch[52/100]: loss: 0.0001  EM: 35.3276  F1:51.1781
Epoch[53/100]: loss: 0.0001  EM: 35.0427  F1:51.2065
Epoch[54/100]: loss: 0.0001  EM: 35.6125  F1:51.6570
Epoch[55/100]: loss: 0.0001  EM: 35.0427  F1:50.9777
Epoch[56/100]: loss: 0.0000  EM: 35.0427  F1:50.6517
Epoch[57/100]: loss: 0.0001  EM: 34.4729  F1:50.4658
Epoch[58/100]: loss: 0.0008  EM: 34.1880  F1:49.6863
Epoch[59/100]: loss: 0.0002  EM: 34.4729  F1:50.6321
Epoch[60/100]: loss: 0.0004  EM: 35.3276  F1:50.4077
Epoch[61/100]: loss: 0.0001  EM: 35.6125  F1:50.3818
Epoch[62/100]: loss: 0.0098  EM: 34.1880  F1:49.0269
Epoch[63/100]: loss: 0.0116  EM: 35.3276  F1:50.4018
Epoch[64/100]: loss: 0.0038  EM: 35.6125  F1:50.6936
Epoch[65/100]: loss: 0.0064  EM: 33.3333  F1:47.8481
Epoch[66/100]: loss: 0.0124  EM: 32.7635  F1:47.6653
Epoch[67/100]: loss: 0.0014  EM: 33.0484  F1:46.3684
Epoch[68/100]: loss: 0.0053  EM: 34.1880  F1:48.2428
Epoch[69/100]: loss: 0.0048  EM: 33.9031  F1:48.3323
Epoch[70/100]: loss: 0.0010  EM: 35.3276  F1:48.3964
Epoch[71/100]: loss: 0.0013  EM: 33.9031  F1:48.9993
Epoch[72/100]: loss: 0.0115  EM: 35.3276  F1:49.2023
Epoch[73/100]: loss: 0.0069  EM: 35.0427  F1:49.2910
Epoch[74/100]: loss: 0.0005  EM: 34.4729  F1:49.3818
Epoch[75/100]: loss: 0.0006  EM: 33.0484  F1:46.4215
Epoch[76/100]: loss: 0.0006  EM: 32.4786  F1:46.9809
Epoch[77/100]: loss: 0.0004  EM: 33.6182  F1:47.9344
Epoch[78/100]: loss: 0.0002  EM: 33.6182  F1:47.7784
Epoch[79/100]: loss: 0.0101  EM: 33.3333  F1:46.6676
Epoch[80/100]: loss: 0.0017  EM: 33.0484  F1:47.5836
Epoch[81/100]: loss: 0.0011  EM: 33.3333  F1:47.6791
Epoch[82/100]: loss: 0.0007  EM: 36.4672  F1:50.1788
Epoch[83/100]: loss: 0.0007  EM: 34.4729  F1:47.8676
Epoch[84/100]: loss: 0.0088  EM: 31.9088  F1:46.8368
Epoch[85/100]: loss: 0.0012  EM: 32.1937  F1:47.2519
Epoch[86/100]: loss: 0.0001  EM: 32.7635  F1:48.6540
Epoch[87/100]: loss: 0.0006  EM: 34.1880  F1:49.1523
Epoch[88/100]: loss: 0.0001  EM: 34.1880  F1:49.4754
Epoch[89/100]: loss: 0.0003  EM: 34.1880  F1:48.7188
Epoch[90/100]: loss: 0.0014  EM: 33.0484  F1:46.8955
Epoch[91/100]: loss: 0.0001  EM: 33.9031  F1:47.3826
Epoch[92/100]: loss: 0.0001  EM: 33.3333  F1:47.6653
Epoch[93/100]: loss: 0.0001  EM: 33.3333  F1:47.0078
Epoch[94/100]: loss: 0.0000  EM: 33.0484  F1:46.4709
Epoch[95/100]: loss: 0.0000  EM: 32.4786  F1:46.2838
Epoch[96/100]: loss: 0.0000  EM: 32.4786  F1:46.0574
Epoch[97/100]: loss: 0.0000  EM: 32.7635  F1:46.4421
Epoch[98/100]: loss: 0.0000  EM: 32.7635  F1:46.4868
Epoch[99/100]: loss: 0.0000  EM: 33.0484  F1:47.2174
Epoch[100/100]: loss: 0.0001  EM: 33.0484  F1:47.1666
