
Grad overflow on iteration 0
Using dynamic loss scale of 65536

Grad overflow on iteration 3
Using dynamic loss scale of 32768.0
Epoch[ 1/100]: loss: 3.3766  EM: 29.2343  F1:40.5537

Grad overflow on iteration 35
Using dynamic loss scale of 16384.0
Epoch[ 2/100]: loss: 1.2739  EM: 30.1624  F1:42.9694
Epoch[ 3/100]: loss: 0.6690  EM: 37.3550  F1:49.2535
Epoch[ 4/100]: loss: 0.3569  EM: 40.1392  F1:53.1648
Epoch[ 5/100]: loss: 0.2496  EM: 38.5151  F1:51.4919
Epoch[ 6/100]: loss: 0.1650  EM: 41.9954  F1:54.0401
Epoch[ 7/100]: loss: 0.0849  EM: 37.1230  F1:49.5377

Grad overflow on iteration 159
Using dynamic loss scale of 8192.0
Epoch[ 8/100]: loss: 0.1006  EM: 40.1392  F1:54.3514
Epoch[ 9/100]: loss: 0.0814  EM: 40.1392  F1:51.6454
Epoch[10/100]: loss: 0.0356  EM: 39.6752  F1:50.4313
Epoch[11/100]: loss: 0.0281  EM: 39.9072  F1:53.0567
Epoch[12/100]: loss: 0.0312  EM: 41.2993  F1:54.5493
Epoch[13/100]: loss: 0.0123  EM: 42.2274  F1:54.7645
Epoch[14/100]: loss: 0.0145  EM: 40.8353  F1:53.9881
Epoch[15/100]: loss: 0.0136  EM: 40.8353  F1:52.7019
Epoch[16/100]: loss: 0.0097  EM: 42.9234  F1:54.9326
Epoch[17/100]: loss: 0.0070  EM: 44.5476  F1:56.8172
Epoch[18/100]: loss: 0.0133  EM: 45.0116  F1:56.6996
Epoch[19/100]: loss: 0.0056  EM: 42.9234  F1:56.2529
Epoch[20/100]: loss: 0.0022  EM: 41.9954  F1:53.1457
Epoch[21/100]: loss: 0.0055  EM: 42.6914  F1:54.0084
Epoch[22/100]: loss: 0.0023  EM: 41.2993  F1:53.1769
Epoch[23/100]: loss: 0.0057  EM: 42.4594  F1:52.7851
Epoch[24/100]: loss: 0.0041  EM: 43.6195  F1:54.5529
Epoch[25/100]: loss: 0.0004  EM: 45.2436  F1:56.0229
Epoch[26/100]: loss: 0.0006  EM: 43.6195  F1:54.5970
Epoch[27/100]: loss: 0.0006  EM: 42.9234  F1:53.9614
Epoch[28/100]: loss: 0.0004  EM: 42.9234  F1:53.1933
Epoch[29/100]: loss: 0.0020  EM: 43.8515  F1:54.7947
Epoch[30/100]: loss: 0.0022  EM: 44.5476  F1:55.9190
Epoch[31/100]: loss: 0.0007  EM: 46.1717  F1:57.9193
Epoch[32/100]: loss: 0.0003  EM: 45.2436  F1:57.3740
Epoch[33/100]: loss: 0.0002  EM: 45.2436  F1:57.3652
Epoch[34/100]: loss: 0.0002  EM: 45.4756  F1:57.1279
Epoch[35/100]: loss: 0.0004  EM: 45.0116  F1:56.0733
Epoch[36/100]: loss: 0.0007  EM: 44.5476  F1:56.0394
Epoch[37/100]: loss: 0.0003  EM: 44.3155  F1:55.5639
Epoch[38/100]: loss: 0.0002  EM: 43.6195  F1:54.0409
Epoch[39/100]: loss: 0.0003  EM: 43.8515  F1:55.1128
Epoch[40/100]: loss: 0.0081  EM: 44.7796  F1:56.1057
Epoch[41/100]: loss: 0.0001  EM: 44.3155  F1:56.6887
Epoch[42/100]: loss: 0.0001  EM: 45.0116  F1:57.2165
Epoch[43/100]: loss: 0.0011  EM: 46.1717  F1:57.4326
Epoch[44/100]: loss: 0.0002  EM: 45.9397  F1:57.3516
Epoch[45/100]: loss: 0.0011  EM: 45.2436  F1:56.5921
Epoch[46/100]: loss: 0.0016  EM: 45.2436  F1:56.1169
Epoch[47/100]: loss: 0.0002  EM: 46.4037  F1:57.3131
Epoch[48/100]: loss: 0.0001  EM: 46.6357  F1:57.4760
Epoch[49/100]: loss: 0.0003  EM: 45.9397  F1:57.5621
Epoch[50/100]: loss: 0.0003  EM: 46.4037  F1:57.8510
Epoch[51/100]: loss: 0.0003  EM: 45.9397  F1:57.2878
Epoch[52/100]: loss: 0.0003  EM: 44.7796  F1:56.1577
Epoch[53/100]: loss: 0.0001  EM: 45.0116  F1:56.3885
Epoch[54/100]: loss: 0.0001  EM: 45.7077  F1:57.1895
Epoch[55/100]: loss: 0.0002  EM: 46.4037  F1:57.6329
Epoch[56/100]: loss: 0.0001  EM: 46.6357  F1:57.9098
Epoch[57/100]: loss: 0.0001  EM: 46.4037  F1:57.7970
Epoch[58/100]: loss: 0.0001  EM: 45.7077  F1:57.2446
Epoch[59/100]: loss: 0.0019  EM: 46.1717  F1:57.5005
Epoch[60/100]: loss: 0.0039  EM: 47.0998  F1:58.3273
Epoch[61/100]: loss: 0.0001  EM: 46.6357  F1:57.8380
Epoch[62/100]: loss: 0.0002  EM: 46.4037  F1:57.9662
Epoch[63/100]: loss: 0.0001  EM: 46.6357  F1:57.7510
Epoch[64/100]: loss: 0.0001  EM: 46.4037  F1:57.6135
Epoch[65/100]: loss: 0.0002  EM: 46.6357  F1:57.3822
Epoch[66/100]: loss: 0.0001  EM: 43.8515  F1:55.7356
Epoch[67/100]: loss: 0.0000  EM: 44.0835  F1:56.0414
Epoch[68/100]: loss: 0.0001  EM: 45.0116  F1:56.8262
Epoch[69/100]: loss: 0.0001  EM: 45.7077  F1:57.4520
Epoch[70/100]: loss: 0.0000  EM: 45.7077  F1:57.1783
Epoch[71/100]: loss: 0.0032  EM: 46.1717  F1:57.7503
Epoch[72/100]: loss: 0.0000  EM: 46.1717  F1:57.8560
Epoch[73/100]: loss: 0.0001  EM: 46.4037  F1:58.1980
Epoch[74/100]: loss: 0.0001  EM: 46.1717  F1:57.8434
Epoch[75/100]: loss: 0.0000  EM: 46.1717  F1:58.1028
Epoch[76/100]: loss: 0.0019  EM: 43.3875  F1:54.6624
Epoch[77/100]: loss: 0.0115  EM: 44.0835  F1:55.1965
Epoch[78/100]: loss: 0.0003  EM: 45.4756  F1:56.0477
Epoch[79/100]: loss: 0.0002  EM: 46.8677  F1:57.5063
Epoch[80/100]: loss: 0.0006  EM: 45.7077  F1:56.3796
Epoch[81/100]: loss: 0.0170  EM: 45.2436  F1:56.6741
Epoch[82/100]: loss: 0.0062  EM: 44.5476  F1:56.0919
Epoch[83/100]: loss: 0.0005  EM: 43.6195  F1:55.0829
Epoch[84/100]: loss: 0.0003  EM: 43.8515  F1:55.3257
Epoch[85/100]: loss: 0.0006  EM: 42.9234  F1:53.7539
Epoch[86/100]: loss: 0.0008  EM: 45.4756  F1:56.7575
Epoch[87/100]: loss: 0.0056  EM: 45.0116  F1:56.1418
Epoch[88/100]: loss: 0.0032  EM: 43.1555  F1:53.2658
Epoch[89/100]: loss: 0.0040  EM: 44.7796  F1:55.8496
Epoch[90/100]: loss: 0.0180  EM: 43.8515  F1:55.0439
Epoch[91/100]: loss: 0.0072  EM: 41.9954  F1:54.0946
Epoch[92/100]: loss: 0.0009  EM: 44.0835  F1:55.8042
Epoch[93/100]: loss: 0.0009  EM: 43.1555  F1:54.6033
Epoch[94/100]: loss: 0.0058  EM: 40.3712  F1:51.6606
Epoch[95/100]: loss: 0.0079  EM: 41.7633  F1:52.3064
Epoch[96/100]: loss: 0.0062  EM: 43.1555  F1:55.2248
Epoch[97/100]: loss: 0.0022  EM: 43.8515  F1:54.5990
Epoch[98/100]: loss: 0.0045  EM: 42.2274  F1:53.8900
Epoch[99/100]: loss: 0.0089  EM: 43.8515  F1:55.2218
Epoch[100/100]: loss: 0.0016  EM: 41.9954  F1:53.9125
