
Grad overflow on iteration 0
Using dynamic loss scale of 65536

Grad overflow on iteration 9
Using dynamic loss scale of 32768.0
Epoch[ 1/100]: loss: 2.8552  EM: 33.0484  F1:48.8818

Grad overflow on iteration 28
Using dynamic loss scale of 16384.0
Epoch[ 2/100]: loss: 0.8659  EM: 35.6125  F1:50.1470
Epoch[ 3/100]: loss: 0.4024  EM: 36.1823  F1:52.6974
Epoch[ 4/100]: loss: 0.1952  EM: 34.7578  F1:48.6954
Epoch[ 5/100]: loss: 0.1211  EM: 35.6125  F1:51.5357
Epoch[ 6/100]: loss: 0.0827  EM: 36.1823  F1:51.0284
Epoch[ 7/100]: loss: 0.0550  EM: 34.4729  F1:51.8990
Epoch[ 8/100]: loss: 0.0427  EM: 35.3276  F1:51.0782
Epoch[ 9/100]: loss: 0.0372  EM: 37.0370  F1:53.7363
Epoch[10/100]: loss: 0.0169  EM: 37.8917  F1:52.9789
Epoch[11/100]: loss: 0.0189  EM: 36.1823  F1:51.8240
Epoch[12/100]: loss: 0.0218  EM: 38.1766  F1:54.6183
Epoch[13/100]: loss: 0.0131  EM: 36.1823  F1:51.6696
Epoch[14/100]: loss: 0.0049  EM: 37.0370  F1:51.9602
Epoch[15/100]: loss: 0.0077  EM: 38.7464  F1:54.1189
Epoch[16/100]: loss: 0.0017  EM: 37.3219  F1:52.2641
Epoch[17/100]: loss: 0.0107  EM: 37.6068  F1:52.6987
Epoch[18/100]: loss: 0.0011  EM: 37.3219  F1:52.1954
Epoch[19/100]: loss: 0.0008  EM: 36.4672  F1:51.7929
Epoch[20/100]: loss: 0.0031  EM: 37.0370  F1:53.3237
Epoch[21/100]: loss: 0.0080  EM: 37.0370  F1:53.0800
Epoch[22/100]: loss: 0.0015  EM: 36.7521  F1:52.4028
Epoch[23/100]: loss: 0.0022  EM: 36.7521  F1:52.5593
Epoch[24/100]: loss: 0.0041  EM: 35.6125  F1:51.1371
Epoch[25/100]: loss: 0.0014  EM: 35.3276  F1:51.6364
Epoch[26/100]: loss: 0.0017  EM: 36.7521  F1:52.3294
Epoch[27/100]: loss: 0.0022  EM: 36.1823  F1:52.1241
Epoch[28/100]: loss: 0.0002  EM: 35.8974  F1:51.8229
Epoch[29/100]: loss: 0.0020  EM: 36.4672  F1:52.7796
Epoch[30/100]: loss: 0.0023  EM: 34.1880  F1:50.8186
Epoch[31/100]: loss: 0.0027  EM: 35.0427  F1:51.3019
Epoch[32/100]: loss: 0.0001  EM: 35.8974  F1:52.2327
Epoch[33/100]: loss: 0.0001  EM: 36.1823  F1:52.5288
Epoch[34/100]: loss: 0.0014  EM: 35.0427  F1:51.5972
Epoch[35/100]: loss: 0.0002  EM: 35.6125  F1:51.4503
Epoch[36/100]: loss: 0.0002  EM: 35.6125  F1:52.0298
Epoch[37/100]: loss: 0.0002  EM: 36.1823  F1:52.6561
Epoch[38/100]: loss: 0.0006  EM: 36.7521  F1:53.4441
Epoch[39/100]: loss: 0.0005  EM: 35.8974  F1:51.6562
Epoch[40/100]: loss: 0.0004  EM: 35.8974  F1:51.8185
Epoch[41/100]: loss: 0.0008  EM: 36.1823  F1:52.4213
Epoch[42/100]: loss: 0.0028  EM: 35.6125  F1:52.0190
Epoch[43/100]: loss: 0.0045  EM: 36.7521  F1:53.2044
Epoch[44/100]: loss: 0.0004  EM: 37.0370  F1:53.6353
Epoch[45/100]: loss: 0.0001  EM: 37.3219  F1:53.5530
Epoch[46/100]: loss: 0.0004  EM: 36.4672  F1:52.5099
Epoch[47/100]: loss: 0.0024  EM: 36.4672  F1:51.2500
Epoch[48/100]: loss: 0.0006  EM: 36.7521  F1:52.5967
Epoch[49/100]: loss: 0.0001  EM: 36.4672  F1:52.4357
Epoch[50/100]: loss: 0.0001  EM: 36.4672  F1:52.4501
Epoch[51/100]: loss: 0.0005  EM: 36.4672  F1:51.9076
Epoch[52/100]: loss: 0.0002  EM: 35.8974  F1:51.7332
Epoch[53/100]: loss: 0.0001  EM: 36.1823  F1:51.7145
Epoch[54/100]: loss: 0.0001  EM: 35.8974  F1:51.8584
Epoch[55/100]: loss: 0.0006  EM: 37.8917  F1:52.8253
Epoch[56/100]: loss: 0.0009  EM: 36.7521  F1:52.2082
Epoch[57/100]: loss: 0.0007  EM: 37.0370  F1:52.0044
Epoch[58/100]: loss: 0.0006  EM: 36.7521  F1:51.5456
Epoch[59/100]: loss: 0.0007  EM: 36.7521  F1:52.0362
Epoch[60/100]: loss: 0.0094  EM: 35.0427  F1:50.1697
Epoch[61/100]: loss: 0.0006  EM: 34.7578  F1:50.6541
Epoch[62/100]: loss: 0.0001  EM: 34.7578  F1:50.3688
Epoch[63/100]: loss: 0.0003  EM: 34.4729  F1:50.1969
Epoch[64/100]: loss: 0.0005  EM: 35.3276  F1:50.8310
Epoch[65/100]: loss: 0.0001  EM: 35.0427  F1:50.6703
Epoch[66/100]: loss: 0.0006  EM: 34.1880  F1:49.2150
Epoch[67/100]: loss: 0.0001  EM: 34.7578  F1:50.3865
Epoch[68/100]: loss: 0.0003  EM: 35.0427  F1:51.1748
Epoch[69/100]: loss: 0.0001  EM: 35.0427  F1:50.9409
Epoch[70/100]: loss: 0.0006  EM: 36.1823  F1:52.0796
Epoch[71/100]: loss: 0.0017  EM: 36.1823  F1:52.2723
Epoch[72/100]: loss: 0.0018  EM: 35.8974  F1:51.3334
Epoch[73/100]: loss: 0.0007  EM: 35.0427  F1:51.0328
Epoch[74/100]: loss: 0.0034  EM: 33.6182  F1:49.4570
Epoch[75/100]: loss: 0.0006  EM: 37.6068  F1:52.2045
Epoch[76/100]: loss: 0.0005  EM: 37.6068  F1:51.7035
Epoch[77/100]: loss: 0.0021  EM: 37.8917  F1:51.3277
Epoch[78/100]: loss: 0.0046  EM: 38.1766  F1:51.9211
Epoch[79/100]: loss: 0.0006  EM: 39.0313  F1:52.8184
Epoch[80/100]: loss: 0.0002  EM: 39.0313  F1:52.9007
Epoch[81/100]: loss: 0.0006  EM: 36.4672  F1:51.0274
Epoch[82/100]: loss: 0.0047  EM: 35.0427  F1:49.7524
Epoch[83/100]: loss: 0.0096  EM: 36.7521  F1:52.1256
Epoch[84/100]: loss: 0.0048  EM: 37.0370  F1:52.0981

Grad overflow on iteration 2198
Using dynamic loss scale of 32768.0
Epoch[85/100]: loss: 0.0179  EM: 35.8974  F1:51.6185
Epoch[86/100]: loss: 0.0190  EM: 36.4672  F1:51.8397
Epoch[87/100]: loss: 0.0033  EM: 37.0370  F1:52.3237
Epoch[88/100]: loss: 0.0015  EM: 36.4672  F1:51.7620
Epoch[89/100]: loss: 0.0140  EM: 35.0427  F1:49.8920
Epoch[90/100]: loss: 0.0076  EM: 36.1823  F1:50.6506
Epoch[91/100]: loss: 0.0001  EM: 37.0370  F1:52.2197
Epoch[92/100]: loss: 0.0005  EM: 38.4615  F1:53.6523
Epoch[93/100]: loss: 0.0003  EM: 38.4615  F1:54.2729
Epoch[94/100]: loss: 0.0001  EM: 38.1766  F1:53.8203
