
Grad overflow on iteration 0
Using dynamic loss scale of 65536
Epoch[ 1/100]: loss: 3.3992  EM: 32.4826  F1:42.9611

Grad overflow on iteration 22
Using dynamic loss scale of 32768.0
Epoch[ 2/100]: loss: 1.0990  EM: 36.6589  F1:50.6717
Epoch[ 3/100]: loss: 0.4558  EM: 42.6914  F1:56.1523
Epoch[ 4/100]: loss: 0.2489  EM: 42.4594  F1:55.9440
Epoch[ 5/100]: loss: 0.1207  EM: 40.6032  F1:54.3550
Epoch[ 6/100]: loss: 0.0884  EM: 44.0835  F1:57.1020
Epoch[ 7/100]: loss: 0.0783  EM: 43.3875  F1:56.4445
Epoch[ 8/100]: loss: 0.0219  EM: 44.0835  F1:56.0318
Epoch[ 9/100]: loss: 0.0381  EM: 39.9072  F1:53.6258
Epoch[10/100]: loss: 0.0128  EM: 41.2993  F1:54.9849
Epoch[11/100]: loss: 0.0127  EM: 43.6195  F1:56.3031
Epoch[12/100]: loss: 0.0107  EM: 41.7633  F1:54.8979
Epoch[13/100]: loss: 0.0111  EM: 43.3875  F1:56.4413
Epoch[14/100]: loss: 0.0078  EM: 42.6914  F1:57.5802
Epoch[15/100]: loss: 0.0119  EM: 41.5313  F1:55.7461
Epoch[16/100]: loss: 0.0071  EM: 42.6914  F1:56.8555
Epoch[17/100]: loss: 0.0144  EM: 46.4037  F1:59.6812
Epoch[18/100]: loss: 0.0024  EM: 44.5476  F1:57.7490
Epoch[19/100]: loss: 0.0007  EM: 43.1555  F1:56.7910
Epoch[20/100]: loss: 0.0005  EM: 44.5476  F1:57.7746
Epoch[21/100]: loss: 0.0003  EM: 44.7796  F1:58.4031
Epoch[22/100]: loss: 0.0040  EM: 44.3155  F1:58.4110
Epoch[23/100]: loss: 0.0013  EM: 46.4037  F1:58.7238
Epoch[24/100]: loss: 0.0046  EM: 47.5638  F1:60.4348
Epoch[25/100]: loss: 0.0011  EM: 45.7077  F1:58.6491
Epoch[26/100]: loss: 0.0021  EM: 44.7796  F1:57.2650
Epoch[27/100]: loss: 0.0010  EM: 46.4037  F1:58.5491
Epoch[28/100]: loss: 0.0012  EM: 44.5476  F1:57.8771
Epoch[29/100]: loss: 0.0009  EM: 46.1717  F1:58.2770
Epoch[30/100]: loss: 0.0032  EM: 45.7077  F1:58.2094
Epoch[31/100]: loss: 0.0005  EM: 45.2436  F1:58.4654
Epoch[32/100]: loss: 0.0023  EM: 46.1717  F1:59.3505
Epoch[33/100]: loss: 0.0003  EM: 46.1717  F1:59.4465
Epoch[34/100]: loss: 0.0002  EM: 45.7077  F1:59.2595
Epoch[35/100]: loss: 0.0001  EM: 45.9397  F1:59.2378
Epoch[36/100]: loss: 0.0001  EM: 46.1717  F1:59.0705
Epoch[37/100]: loss: 0.0016  EM: 45.0116  F1:58.8391
Epoch[38/100]: loss: 0.0023  EM: 44.5476  F1:58.7240
Epoch[39/100]: loss: 0.0002  EM: 45.4756  F1:59.0333
Epoch[40/100]: loss: 0.0001  EM: 45.4756  F1:58.5441

Grad overflow on iteration 817
Using dynamic loss scale of 16384.0
Epoch[41/100]: loss: 0.0012  EM: 45.7077  F1:59.3068
Epoch[42/100]: loss: 0.0002  EM: 43.6195  F1:57.2313
Epoch[43/100]: loss: 0.0029  EM: 45.0116  F1:59.1016
Epoch[44/100]: loss: 0.0006  EM: 45.7077  F1:59.5264
Epoch[45/100]: loss: 0.0002  EM: 45.9397  F1:59.7523
Epoch[46/100]: loss: 0.0002  EM: 46.4037  F1:59.9286
Epoch[47/100]: loss: 0.0001  EM: 46.1717  F1:59.5826
Epoch[48/100]: loss: 0.0001  EM: 46.4037  F1:59.8227
Epoch[49/100]: loss: 0.0001  EM: 47.0998  F1:60.2256
Epoch[50/100]: loss: 0.0001  EM: 46.8677  F1:60.2988
Epoch[51/100]: loss: 0.0001  EM: 46.8677  F1:60.1432
Epoch[52/100]: loss: 0.0001  EM: 47.3318  F1:60.0692
Epoch[53/100]: loss: 0.0002  EM: 47.0998  F1:59.8690
Epoch[54/100]: loss: 0.0003  EM: 47.0998  F1:59.9146
Epoch[55/100]: loss: 0.0004  EM: 46.1717  F1:59.1897
Epoch[56/100]: loss: 0.0007  EM: 45.0116  F1:57.5397
Epoch[57/100]: loss: 0.0003  EM: 46.1717  F1:59.0738
Epoch[58/100]: loss: 0.0059  EM: 45.9397  F1:58.7853
Epoch[59/100]: loss: 0.0007  EM: 45.0116  F1:57.6811
Epoch[60/100]: loss: 0.0062  EM: 42.6914  F1:56.5188
Epoch[61/100]: loss: 0.0052  EM: 44.0835  F1:56.6633
Epoch[62/100]: loss: 0.0033  EM: 41.2993  F1:54.7887
Epoch[63/100]: loss: 0.0048  EM: 45.0116  F1:57.2581
Epoch[64/100]: loss: 0.0015  EM: 46.1717  F1:58.6659
Epoch[65/100]: loss: 0.0034  EM: 45.7077  F1:58.7288
Epoch[66/100]: loss: 0.0043  EM: 44.5476  F1:57.7232
Epoch[67/100]: loss: 0.0004  EM: 45.7077  F1:58.3037
Epoch[68/100]: loss: 0.0007  EM: 41.2993  F1:55.4998
Epoch[69/100]: loss: 0.0235  EM: 43.8515  F1:57.1104
Epoch[70/100]: loss: 0.0006  EM: 45.7077  F1:57.7497
Epoch[71/100]: loss: 0.0002  EM: 45.0116  F1:57.5062
Epoch[72/100]: loss: 0.0001  EM: 46.1717  F1:59.0451
Epoch[73/100]: loss: 0.0011  EM: 46.1717  F1:59.0732
Epoch[74/100]: loss: 0.0003  EM: 45.7077  F1:58.5337
Epoch[75/100]: loss: 0.0003  EM: 45.9397  F1:58.0313
Epoch[76/100]: loss: 0.0001  EM: 46.1717  F1:58.2075
Epoch[77/100]: loss: 0.0001  EM: 45.7077  F1:58.0499
Epoch[78/100]: loss: 0.0034  EM: 47.3318  F1:59.4835
Epoch[79/100]: loss: 0.0005  EM: 45.7077  F1:59.3397
Epoch[80/100]: loss: 0.0004  EM: 47.5638  F1:60.9987
Epoch[81/100]: loss: 0.0001  EM: 45.4756  F1:59.4996
Epoch[82/100]: loss: 0.0001  EM: 46.1717  F1:60.1796
Epoch[83/100]: loss: 0.0001  EM: 46.8677  F1:60.4008
Epoch[84/100]: loss: 0.0001  EM: 46.6357  F1:60.1397
Epoch[85/100]: loss: 0.0001  EM: 47.0998  F1:60.5671
Epoch[86/100]: loss: 0.0007  EM: 46.1717  F1:58.9488
Epoch[87/100]: loss: 0.0102  EM: 43.1555  F1:55.9100
Epoch[88/100]: loss: 0.0042  EM: 43.6195  F1:56.3911
Epoch[89/100]: loss: 0.0016  EM: 41.7633  F1:54.6361
Epoch[90/100]: loss: 0.0053  EM: 43.8515  F1:57.2283
